UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,ESTIM_POB,IDH_2019,%POBREZA,%POBREZAEXT,TASA_NOLEER,TASA_INDIGENA,TASA_NOAFILSALUD,TASA_MAS80,UNA_DOSIS,DOS_DOSIS,TRES_DOSIS
060808,CAJAMARCA,JAEN,PUCARA,7722,0.50890642606929,0.43505236,0.1258534,0.160374597600234,0.0806262803628914,0.165349721978344,0.0275835275835276,5026,4329,715
060809,CAJAMARCA,JAEN,SALLIQUE,8731,0.219290446414636,0.76842495,0.4237612,0.208588084743353,0.0627043935731551,0.0486278970567325,0.012713320352766,2820,2128,121
060810,CAJAMARCA,JAEN,SAN FELIPE,6272,0.297786533612683,0.67282958,0.5230151,0.193266567227786,0.0281269976560835,0.126571489452376,0.0216836734693878,2736,2376,393
060811,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,7253,0.322602343342685,0.4861103,0.1541932,0.174568965517241,0.00229885057471264,0.132183908045977,0.0175099958637805,4221,3775,202
060812,CAJAMARCA,JAEN,SANTA ROSA,11564,0.389750233348217,0.57406823,0.1833372,0.159152254323703,0.0178946316105168,0.160551834449665,0.0213593912141128,5287,4511,469
060901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,37767,0.439181272116706,0.42295658,0.2415745,0.154534175827346,0.0203121844254018,0.133904613520298,0.0163105356528186,29792,26140,3636
060902,CAJAMARCA,SAN IGNACIO,CHIRINOS,14423,0.38929409054572,0.37292403,0.3091077,0.16625548245614,0.0087719298245614,0.179618969298246,0.0172640920751577,10183,8908,1344
060903,CAJAMARCA,SAN IGNACIO,HUARANGO,20796,0.330542521453035,0.57175184,0.2486532,0.171885409726849,0.0420275371974239,0.0756717743726405,0.0175514522023466,11915,10198,1654
060904,CAJAMARCA,SAN IGNACIO,LA COIPA,21067,0.31642065760109,0.57233712,0.2376278,0.187506389939679,0.00327164911563235,0.157499233207239,0.0142402810082119,12531,10386,861
060905,CAJAMARCA,SAN IGNACIO,NAMBALLE,11700,0.315147791150599,0.68827543,0.4804354,0.159595515497912,0.00241811387118048,0.079687843482084,0.0094017094017094,6650,6099,928
060906,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,22040,0.323019607349766,0.48337739,0.2306691,0.157925613047049,0.0165434706089405,0.147717939692597,0.0108892921960073,11225,10043,1363
060907,CAJAMARCA,SAN IGNACIO,TABACONAS,21877,0.296120471510562,0.66409842,0.5310703,0.202991331935868,0.00141635034842219,0.105546427964421,0.0127531197147689,11262,9203,692
061001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,21534,0.416040497870817,0.42119928,0.1680338,0.176748867639658,0.0579265223955712,0.127981882234524,0.0258660722578248,15166,14083,2916
061002,CAJAMARCA,SAN MARCOS,CHANCAY,3363,0.208427235281547,0.64269365,0.3897913,0.195278246205734,0.00505902192242833,0.045531197301855,0.0336009515313708,2233,2010,173
061003,CAJAMARCA,SAN MARCOS,EDUARDO VILLANUEVA,2309,0.331876404443689,0.52284391,0.188855,0.173423423423423,0.0292792792792793,0.215465465465465,0.0376786487656994,1865,1639,295
061004,CAJAMARCA,SAN MARCOS,GREGORIO PITA,6768,0.224821766293327,0.60854865,0.3589377,0.22332554517134,0.00233644859813084,0.0644470404984424,0.0279255319148936,3779,3435,592
061005,CAJAMARCA,SAN MARCOS,ICHOCAN,1710,0.341790486101192,0.4922889,0.264474,0.176223040504997,0.10731194108364,0.0699631772751184,0.068421052631579,1501,1355,418
061006,CAJAMARCA,SAN MARCOS,JOSE MANUEL QUIROZ,4020,0.225231067979831,0.68553706,0.5994817,0.253386004514673,0.029627539503386,0.0727990970654628,0.0286069651741294,2217,1948,170
