Ano;Departamentos;Distritos;provincia;Región natural;Maxepi Week;Semana;Maxyear;Muerte Mat;Geometría;Mmaterna1;Mmaterna2
2015;AREQUIPA;CAYMA;AREQUIPA;SIERRA;16;39;2021;1;Polygon;1;
2014;PUNO;PUNO;PUNO;SIERRA;16;35;2021;1;Polygon;;1
2014;CUSCO;ESPINAR;ESPINAR;SIERRA;16;30;2021;1;Polygon;;1
2014;CUSCO;ESPINAR;ESPINAR;SIERRA;16;21;2021;1;Polygon;;1
2014;AREQUIPA;SAMUEL PASTOR;CAMANA;COSTA;16;22;2021;1;Polygon;;1
2014;AREQUIPA;OCOÑA;CAMANA;COSTA;16;12;2021;1;Polygon;1;
2014;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;10;2021;1;Polygon;1;
2013;AREQUIPA;MAJES;CAYLLOMA;COSTA;16;39;2021;1;Polygon;;1
2013;MOQUEGUA;MOQUEGUA;MARISCAL NIETO;COSTA;16;31;2021;1;Polygon;1;
2012;AREQUIPA;AREQUIPA;AREQUIPA;SIERRA;16;42;2021;1;Polygon;1;
2012;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;27;2021;1;Polygon;1;
2012;AREQUIPA;SOCABAYA;AREQUIPA;SIERRA;16;15;2021;1;Polygon;1;
2012;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;7;2021;1;Polygon;;1
2012;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;AREQUIPA;SIERRA;16;4;2021;1;Polygon;1;
2012;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;3;2021;1;Polygon;1;
2012;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;1;2021;1;Polygon;;1
2019;AREQUIPA;SOCABAYA;AREQUIPA;SIERRA;16;44;2021;1;Polygon;1;
2019;AREQUIPA;JACOBO HUNTER;AREQUIPA;SIERRA;16;10;2021;1;Polygon;;1
2018;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;10;2021;1;Polygon;1;
2016;AREQUIPA;MIRAFLORES;AREQUIPA;SIERRA;16;3;2021;1;Polygon;1;
2016;AREQUIPA;ALTO SELVA ALEGRE;AREQUIPA;SIERRA;16;30;2021;1;Polygon;;1
2015;AREQUIPA;CAYMA;AREQUIPA;SIERRA;16;32;2021;1;Polygon;1;
2013;PUNO;AZANGARO;AZANGARO;SIERRA;16;2;2021;1;Polygon;1;
2013;AREQUIPA;MIRAFLORES;AREQUIPA;SIERRA;16;1;2021;1;Polygon;1;
2021;AREQUIPA;MIRAFLORES;AREQUIPA;SIERRA;16;10;2021;1;Polygon;;1
2019;AREQUIPA;MIRAFLORES;AREQUIPA;SIERRA;16;9;2021;1;Polygon;1;
2019;AREQUIPA;ALTO SELVA ALEGRE;AREQUIPA;SIERRA;16;38;2021;1;Polygon;1;
2018;LIMA;JESUS MARIA;LIMA;COSTA;16;29;2021;1;Polygon;1;
2018;TACNA;TACNA;TACNA;COSTA;16;23;2021;1;Polygon;;1
2018;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;13;2021;1;Polygon;1;
2018;AREQUIPA;SOCABAYA;AREQUIPA;SIERRA;16;47;2021;1;Polygon;1;
2017;PUNO;PILCUYO;EL COLLAO;SIERRA;16;31;2021;1;Polygon;1;
2017;MOQUEGUA;MOQUEGUA;MARISCAL NIETO;COSTA;16;32;2021;1;Polygon;;1
2017;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;20;2021;1;Polygon;;1
2016;AREQUIPA;ALTO SELVA ALEGRE;AREQUIPA;SIERRA;16;22;2021;1;Polygon;;1
2016;AREQUIPA;AREQUIPA;AREQUIPA;SIERRA;16;7;2021;1;Polygon;;1
2015;AREQUIPA;SACHACA;AREQUIPA;SIERRA;16;17;2021;1;Polygon;;1
2015;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;13;2021;1;Polygon;;1
2014;AREQUIPA;MAJES;CAYLLOMA;COSTA;16;50;2021;1;Polygon;1;
2014;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;AREQUIPA;SIERRA;16;53;2021;1;Polygon;;1
2013;AREQUIPA;AREQUIPA;AREQUIPA;SIERRA;16;44;2021;1;Polygon;1;
2013;MOQUEGUA;MOQUEGUA;MARISCAL NIETO;COSTA;16;26;2021;1;Polygon;1;
2013;AREQUIPA;SACHACA;AREQUIPA;SIERRA;16;16;2021;1;Polygon;1;
2013;AREQUIPA;MIRAFLORES;AREQUIPA;SIERRA;16;11;2021;1;Polygon;1;
2013;AREQUIPA;AREQUIPA;AREQUIPA;SIERRA;16;3;2021;1;Polygon;;1
2012;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;41;2021;1;Polygon;1;
2012;AREQUIPA;ALTO SELVA ALEGRE;AREQUIPA;SIERRA;16;40;2021;1;Polygon;1;
2012;MOQUEGUA;MOQUEGUA;MARISCAL NIETO;COSTA;16;34;2021;1;Polygon;1;
2012;AREQUIPA;AREQUIPA;AREQUIPA;SIERRA;16;32;2021;1;Polygon;;1
2016;MOQUEGUA;MOQUEGUA;MARISCAL NIETO;COSTA;16;13;2021;1;Polygon;1;
2012;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;42;2021;1;Polygon;1;
2016;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;49;2021;1;Polygon;;1
